Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
58,2.0,0.0,0.0,1707.0,18.0,138.0,4503.0,0.1,100.505,0.0,0.0,646.1583545207977,,,,,,,,,,,,,,,,,,,,,46.37476761643735,28.454412763674313,94.29377532580797,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,1754.0,19.0,47.0,4550.0,0.1,30.205000000000016,0.0,0.0,650.5684597492218,,,,,,,,,,,,,,,,,,,,,10.883232075204623,10.092089951957472,29.752964268037193,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,1888.0,20.0,134.0,4684.0,0.1,54.11200000000005,0.0,0.0,662.347421169281,,,,,,,,,,,,,,,,,,,,,20.273481385733405,13.963848155387048,51.49829859319955,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,92.0,1.0,92.0,4776.0,0.1,37.60800000000003,0.0,0.0,968.5475242137909,,,,,,,,,,,,,,,,,,,,,11.071669653495881,11.49511500296278,36.66269511942208,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,156.0,2.0,64.0,4840.0,0.1,37.706,0.0,0.0,974.4080212116241,,,,,,,,,,,,,,,,,,,,,12.636258318253288,12.156528242129523,36.97118486617929,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,266.0,3.0,110.0,4950.0,0.1,61.50700000000001,0.0,0.0,984.1977972984314,,,,,,,,,,,,,,,,,,,,,24.158987754147724,17.742989827560027,58.96738715396452,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,424.0,4.0,158.0,5108.0,0.1,112.61199999999997,0.0,0.0,998.0097162723541,,,,,,,,,,,,,,,,,,,,,41.546187701228625,34.23026748615813,106.26011631572098,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,493.0,5.0,69.0,5177.0,0.1,39.208999999999996,0.0,0.0,1004.5059955120087,,,,,,,,,,,,,,,,,,,,,13.346720655658858,12.574741738949845,38.36476744488185,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,534.0,6.0,41.0,5218.0,0.1,24.30600000000002,0.0,0.0,1008.4554314613342,,,,,,,,,,,,,,,,,,,,,8.220371393010382,8.279752868572583,24.016974705322514,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,670.0,7.0,136.0,5354.0,0.1,68.20600000000002,0.0,0.0,1020.38254570961,,,,,,,,,,,,,,,,,,,,,31.81954544465106,19.120547295012383,64.00649079462596,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
